mcpp,area_km2
ALASKA JUNCTION,3.5156
ALKI,5.3508
BALLARD NORTH,11.5744
BALLARD SOUTH,5.4534
BELLTOWN,1.2287
BITTERLAKE,8.5524
BRIGHTON/DUNLAP,2.3228
CAPITOL HILL,2.8097
CENTRAL AREA/SQUIRE PARK,3.4277
CHINATOWN/INTERNATIONAL DISTRICT,0.9655
CLAREMONT/RAINIER VISTA,1.1841
COLUMBIA CITY,1.2002
COMMERCIAL DUWAMISH,3.6796
COMMERCIAL HARBOR ISLAND,3.0313
DOWNTOWN COMMERCIAL,1.6049
EASTLAKE - EAST,0.3796
EASTLAKE - WEST,1.3887
FAUNTLEROY SW,5.1729
FIRST HILL,1.4398
FREMONT,2.6128
GENESEE,0.8263
GEORGETOWN,7.3852
GREENWOOD,3.8919
HIGH POINT,2.1965
HIGHLAND PARK,4.552
HILLMAN CITY,0.9661
JUDKINS PARK/NORTH BEACON HILL,1.0948
LAKECITY,7.9581
LAKEWOOD/SEWARD PARK,5.2661
MADISON PARK,2.5485
MADRONA/LESCHI,3.807
MAGNOLIA,16.7175
MID BEACON HILL,4.7198
MILLER PARK,1.4716
MONTLAKE/PORTAGE BAY,3.8874
MORGAN,4.8756
MOUNT BAKER,2.9795
NEW HOLLY,0.8512
NORTH ADMIRAL,4.4856
NORTH BEACON HILL,4.3386
NORTH DELRIDGE,4.4395
NORTHGATE,12.2929
PHINNEY RIDGE,2.976
PIGEON POINT,0.9095
PIONEER SQUARE,1.5931
QUEEN ANNE,9.7365
RAINIER BEACH,1.778
RAINIER VIEW,4.6031
ROOSEVELT/RAVENNA,8.8835
ROXHILL/WESTWOOD/ARBOR HEIGHTS,5.0602
SANDPOINT,16.291
SLU/CASCADE,2.9329
SODO,5.3503
SOUTH BEACON HILL,3.4322
SOUTH DELRIDGE,0.3315
SOUTH PARK,3.0759
UNIVERSITY,4.9888
WALLINGFORD,4.4952
