beat,area_km2
99,19.3418
B1,3.6029
B2,5.1088
B3,5.5227
C1,3.0158
C2,6.2331
C3,3.986
D1,1.2364
D2,1.6114
D3,3.0917
E1,0.8071
E2,0.7242
E3,0.6985
F1,8.4931
F2,2.9856
F3,5.8164
G1,0.5922
G2,2.5549
G3,2.2544
H1,92.1754
H2,1.2463
H3,30.2485
J1,5.5546
J2,6.9737
J3,4.7538
K1,0.5583
K2,1.8255
K3,0.8129
L1,5.8103
L2,5.0719
L3,6.426
M1,0.6102
M2,0.3409
M3,0.2528
N1,9.8745
N2,4.4654
N3,3.4973
O1,2.9776
O2,5.0189
O3,5.7538
Q1,17.2335
Q2,6.2728
Q3,2.3213
R1,6.5753
R2,4.3674
R3,8.2587
S1,5.548
S2,3.0934
S3,5.6105
U1,4.3372
U2,2.3993
U3,16.5719
W1,13.8296
W2,7.7438
W3,11.8081
